"Sévérité","Catégorie","Page","Problème","Fichier","Ligne","Recommandation"
"CRITIQUE","H1 Tags","40 pages","Absence de H1 sur 87% du site","app/*/page.tsx","N/A","Ajouter <h1> unique sur chaque page"
"CRITIQUE","Meta Titles","/(gmb-app)","Title manquant","app/(gmb-app)/page.tsx ou layout.tsx","N/A","Ajouter: export const metadata = { title: '...' }"
"CRITIQUE","Meta Titles","/admin-login","Title manquant","app/admin-login/page.tsx ou layout.tsx","N/A","Ajouter: export const metadata = { title: '...' }"
"CRITIQUE","Meta Descriptions","/(gmb-app)","Description manquante","app/(gmb-app)/page.tsx ou layout.tsx","N/A","Ajouter: description: '...'"
"CRITIQUE","Meta Descriptions","/admin-login","Description manquante","app/admin-login/page.tsx ou layout.tsx","N/A","Ajouter: description: '...'"
"CRITIQUE","Meta Descriptions","/dashboard","Description manquante","app/dashboard/page.tsx ou layout.tsx","N/A","Ajouter: description: '...'"
"HAUTE","Meta Titles","/consultant-seo-aix-en-provence","Title trop long (68 chars)","app/consultant-seo-aix-en-provence/layout.tsx","4","Réduire à ≤60 chars"
"HAUTE","Meta Titles","/consultant-seo-antibes","Title trop long (64 chars)","app/consultant-seo-antibes/layout.tsx","4","Réduire à ≤60 chars"
"HAUTE","Meta Titles","/consultant-seo-bordeaux","Title trop long (64 chars)","app/consultant-seo-bordeaux/layout.tsx","4","Réduire à ≤60 chars"
"HAUTE","Meta Titles","/consultant-seo-boulogne-billancourt","Title trop long (75 chars)","app/consultant-seo-boulogne-billancourt/layout.tsx","4","Réduire à ≤60 chars"
"HAUTE","Meta Titles","/consultant-seo-grenoble","Title trop long (62 chars)","app/consultant-seo-grenoble/layout.tsx","4","Réduire à ≤60 chars"
"HAUTE","Meta Titles","/consultant-seo-juan-les-pins","Title trop long (72 chars)","app/consultant-seo-juan-les-pins/layout.tsx","4","Réduire à ≤60 chars"
"HAUTE","Meta Titles","/consultant-seo-lille","Title trop long (69 chars)","app/consultant-seo-lille/layout.tsx","4","Réduire à ≤60 chars"
"HAUTE","Meta Titles","/consultant-seo-marseille","Title trop long (62 chars)","app/consultant-seo-marseille/layout.tsx","4","Réduire à ≤60 chars"
"HAUTE","Meta Titles","/consultant-seo-montpellier","Title trop long (67 chars)","app/consultant-seo-montpellier/layout.tsx","4","Réduire à ≤60 chars"
