nom_restaurant,ville,categorie,note_google,nombre_avis,possede_site_web,url_site_web,score_completude_profil,google_maps_cid
la petite escale,Antibes,Française,4.9,390,false,,7,14292405299487610865
Jeanne,Antibes,Restaurant,4.9,873,true,https://www.jeanne-antibes.com/,8,285434004738468212
La Fattoria,Antibes,Pizzas à emporter,4.9,339,true,https://www.la-fattoria-antibes.fr/,8,3204124812005346095
Pizzacom,Antibes,Pizza,4.9,108,true,https://digitalaccom.wixsite.com/pizzacom,8,9263525865469531840
Chez Ditta Pinède,Antibes,Italienne,4.9,176,true,https://www.instagram.com/chezdittapinede,8,11345234784321589046
Restaurant La Cafetière Fêlée,Antibes,Restaurant de cuisine fusion,4.8,1,true,https://www.lacafetierefelee.com/,6,15277439056261745179
La Flibuste - Restaurant Gastronomique Villeneuve-Loubet,Antibes,Française,4.8,715,true,https://restaurantlaflibuste.fr/,7,7958043303554335543
Panetti Pizza Club Antibes,Antibes,Pizza,4.8,423,true,https://www.instagram.com/panettipizzaclub/?hl=fr,8,1855683742792106594
Pizzeria d’la ruelle,Antibes,Pizza,4.8,187,true,https://www.pizzeriadlaruelleantibes.fr/,8,16565938355731516737
Ciao Pizza,Antibes,Pizza,4.8,95,false,,7,7993908829061843022
Vin’s Pizza Antibes,Antibes,Pizza,4.8,168,true,http://www.vinspizza.fr/,8,1479622155725798916
La trattoria,Antibes,Italienne,4.7,577,false,,7,7242074277033125802
Pasta e Basta - Antibes,Antibes,Italienne,4.7,158,false,,7,6867585592680778251
Restaurant le Vauban,Antibes,Française,4.7,775,true,http://www.levauban.fr/,8,2131165809305880441
Restaurant Les Terraillers,Antibes,Gastronomie française,4.7,643,true,https://www.lesterraillers.fr/,7,12545336986852997840
Restaurant L'Arazur,Antibes,Gastronomie française,4.6,939,true,http://www.larazur.fr/,8,15242614788864917223
Angelo’s by Le Milano Antibes,Antibes,Restaurant,4.6,501,true,https://www.ubereats.com/fr/store/angelos-snack-antibes/A1oYLQM2RxqSkMOdiyaY3w,8,5187429562339194242
Eden-Roc Restaurant,Antibes,Française,4.6,641,true,https://www.oetkerhotels.com/hotels/hotel-du-cap-eden-roc/restaurants-bars/eden-roc-restaurant,7,11450392190643151685
Eden Pizza,Antibes,Pizza,4.6,928,true,https://www.edenpizza.fr/,8,639028065231146552
Le P'tit Cageot,Antibes,Française,4.5,841,true,http://www.leptitcageot.com/,8,17572824696867544809
Restaurant le 44,Antibes,Française,4.5,837,true,http://www.le44riviera.com/,8,15368612124410794463
Gusto Gelato Pizza - Antibes,Antibes,Pizza,4.5,827,true,http://www.gustoantibes.fr/,8,11711520812052092447
Da Vinci,Antibes,Pizza,4.5,417,true,http://www.davinci-antibes.com/,8,8348360478624851704
Le Figuier de Saint-Esprit,Antibes,Gastronomie française,4.4,777,true,http://le-figuier-de-saint-esprit.com/,8,10998954879260016918
Le Vieil Antibes,Antibes,Brasserie,4.2,896,true,https://www.facebook.com/pablovieilantibes,8,9097350722056371240
Restaurant Les Vieux Murs,Antibes,Gastronomie française,4,991,true,https://www.lesvieuxmurs.com/,8,12561911957223972569
La piccola Sicilia,Cagnes-sur-Mer,Restaurant,5,28,false,,6,7480793528176944214
La Marquise Grill Restaurant grillade,Cagnes-sur-Mer,Restaurant,5,18,false,,6,5183246433897965712
Panetti Pizza Club Cagnes-sur-Mer,Cagnes-sur-Mer,Pizza,5,283,false,,7,6408508496833602507
