Nom,Note,Avis,Téléphone,Adresse,URL
"Barber House Port",4.6,390,"07 61 73 84 72","7 Bd Franck Pilatte, 06300 Nice, France","https://indhack.com/diagnostic/barbier?nom=Barber%20House%20Port&ville=Nice&note=4.6&avis=390"
"One Love Barbershop",4.6,341,"04 93 88 80 12","5 Rue du Lycée, 06000 Nice, France","https://indhack.com/diagnostic/barbier?nom=One%20Love%20Barbershop&ville=Nice&note=4.6&avis=341"
"MY BARBER SHOP ( Avec / Sans RDV)",4.6,168,"","50 Rue Arson, 06300 Nice, France","https://indhack.com/diagnostic/barbier?nom=MY%20BARBER%20SHOP%20(%20Avec%20%2F%20Sans%20RDV)&ville=Nice&note=4.6&avis=168"
"Comptoir des Barbiers",4.7,141,"06 16 77 68 99","48 Bd Jean Jaurès, 06000 Nice, France","https://indhack.com/diagnostic/barbier?nom=Comptoir%20des%20Barbiers&ville=Nice&note=4.7&avis=141"
"Moostach' Barber",4.3,125,"09 51 86 06 92","100 Bd Gambetta, 06000 Nice, France","https://indhack.com/diagnostic/barbier?nom=Moostach'%20Barber&ville=Nice&note=4.3&avis=125"
"Le local_barbershop",4.9,120,"09 52 08 41 96","25 rue tonduti de l'escarene, 25 Rue Tonduti de l'Escarène, 06000 Nice, France","https://indhack.com/diagnostic/barbier?nom=Le%20local_barbershop&ville=Nice&note=4.9&avis=120"
"Barber Chic Nice",4.8,120,"06 74 98 16 69","30 Rue Georges Ville, 06300 Nice, France","https://indhack.com/diagnostic/barbier?nom=Barber%20Chic%20Nice&ville=Nice&note=4.8&avis=120"
"Barber shop split hair",4.8,117,"04 93 16 92 52","19 Rue de Russie, 06000 Nice, France","https://indhack.com/diagnostic/barbier?nom=Barber%20shop%20split%20hair&ville=Nice&note=4.8&avis=117"
"Absalon",4.6,109,"04 93 88 53 05","8 Rue Meyerbeer, 06000 Nice, France","https://indhack.com/diagnostic/barbier?nom=Absalon&ville=Nice&note=4.6&avis=109"
"Barber Style - Barber shop Nice",4.6,106,"07 68 52 61 02","33 Av. Alfred Borriglione, 06100 Nice, France","https://indhack.com/diagnostic/barbier?nom=Barber%20Style%20-%20Barber%20shop%20Nice&ville=Nice&note=4.6&avis=106"
