Nom,Note,Avis,Téléphone,Adresse,URL
"One Love Barbershop",4.6,341,"04 93 88 80 12","5 Rue du Lycée, 06000 Nice, France","https://indhack.com/diagnostic/coiffeur?nom=One%20Love%20Barbershop&ville=Nice&note=4.6&avis=341"
"GM coiffure by Pauline",5,332,"04 93 85 70 07","16 Rue Pastorelli, 06000 Nice, France","https://indhack.com/diagnostic/coiffeur?nom=GM%20coiffure%20by%20Pauline&ville=Nice&note=5&avis=332"
"Studio7 et Salon les Empereurs",4.8,216,"09 80 64 24 07","8 Rue Spitalieri, 06000 Nice, France","https://indhack.com/diagnostic/coiffeur?nom=Studio7%20et%20Salon%20les%20Empereurs&ville=Nice&note=4.8&avis=216"
"KRISTEL HAIR CONCEPT - Coiffure & Onglerie",4.9,210,"06 59 43 08 22","3 Rue du Dr Albert Balestre, 06000 Nice, France","https://indhack.com/diagnostic/coiffeur?nom=KRISTEL%20HAIR%20CONCEPT%20-%20Coiffure%20%26%20Onglerie&ville=Nice&note=4.9&avis=210"
"Station coiffure Nice république",4.7,166,"09 81 11 19 00","19 Av. de la République, 06300 Nice, France","https://indhack.com/diagnostic/coiffeur?nom=Station%20coiffure%20Nice%20r%C3%A9publique&ville=Nice&note=4.7&avis=166"
"By Lucie Mendes Coiffeur",4.6,155,"04 93 85 02 23","22 Rue de l'Hôtel des Postes, 06000 Nice, France","https://indhack.com/diagnostic/coiffeur?nom=By%20Lucie%20Mendes%20Coiffeur&ville=Nice&note=4.6&avis=155"
"Le Salon",4.9,138,"04 93 87 74 52","Palais Grimaldi, 2 Pl. Grimaldi, 06000 Nice, France","https://indhack.com/diagnostic/coiffeur?nom=Le%20Salon&ville=Nice&note=4.9&avis=138"
"JOKER BEAUTY",4.9,116,"04 93 04 42 14","12 Rue Maccarani, 06000 Nice, France","https://indhack.com/diagnostic/coiffeur?nom=JOKER%20BEAUTY&ville=Nice&note=4.9&avis=116"
"Paganini Coiffure",4.9,115,"06 20 29 78 80","27 Rue Paganini, 06000 Nice, France","https://indhack.com/diagnostic/coiffeur?nom=Paganini%20Coiffure&ville=Nice&note=4.9&avis=115"
"KS Beauty Hair - Salon de coiffure Nice.Ombre hair,Lissages",5,80,"06 21 67 01 29","1 Rue Melchior de Vogue, 06000 Nice, France","https://indhack.com/diagnostic/coiffeur?nom=KS%20Beauty%20Hair%20-%20Salon%20de%20coiffure%20Nice.Ombre%20hair%2CLissages&ville=Nice&note=5&avis=80"
"Hair by Priscillia.k",5,80,"06 59 67 12 63","6 Rue Parmentier, 06100 Nice, France","https://indhack.com/diagnostic/coiffeur?nom=Hair%20by%20Priscillia.k&ville=Nice&note=5&avis=80"
"CORSO COIFFEUR",4.6,75,"04 93 87 68 95","14 Rue du Maréchal Joffre, 06000 Nice, France","https://indhack.com/diagnostic/coiffeur?nom=CORSO%20COIFFEUR&ville=Nice&note=4.6&avis=75"
"GABRIEL.B",4.9,65,"04 23 13 00 51","48 Bd Jean Jaurès, 06300 Nice, France","https://indhack.com/diagnostic/coiffeur?nom=GABRIEL.B&ville=Nice&note=4.9&avis=65"
"Valenti Style coiffure change d’adresse au salon « les copines »",4.9,52,"06 09 30 25 41","15 Av. du Marechal Foch, 06000 Nice, France","https://indhack.com/diagnostic/coiffeur?nom=Valenti%20Style%20coiffure%20change%20d%E2%80%99adresse%20au%20salon%20%C2%AB%20les%20copines%20%C2%BB&ville=Nice&note=4.9&avis=52"
"Salon IDA",4.8,42,"04 93 81 93 96","3 Rue François 1er, 06000 Nice, France","https://indhack.com/diagnostic/coiffeur?nom=Salon%20IDA&ville=Nice&note=4.8&avis=42"
